timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp
1759848626.8955185,10.5,29.0,38.0,53.0
1759848627.0041728,18.3,29.0,38.0,53.0
1759848627.1044369,17.4,29.0,38.0,53.0
1759848627.2048583,18.9,29.0,38.0,53.0
1759848627.3054366,19.6,29.0,38.0,53.0
1759848627.40618,14.3,29.0,38.0,53.0
1759848627.5064993,22.8,29.0,38.0,53.0
1759848627.6071792,16.3,29.0,38.0,53.0
1759848627.7078686,16.2,29.0,38.0,53.0
1759848627.8081694,14.0,29.0,38.0,53.0
1759848627.90857,20.8,29.0,38.0,53.0
1759848628.0092912,15.8,29.0,38.0,53.0
1759848628.109842,19.0,29.0,38.0,53.0
1759848628.2104812,16.4,29.0,38.0,53.0
1759848628.3108835,17.6,29.0,38.0,53.0
1759848628.4112382,16.8,29.0,38.0,53.0
1759848628.5116916,22.6,28.9,38.0,53.0
1759848628.6123707,17.3,28.9,38.0,53.0
1759848628.7128134,19.3,28.9,38.0,53.0
1759848628.8130422,16.8,29.0,38.0,53.0
1759848628.9136188,18.2,28.9,39.0,53.0
1759848629.0141532,16.3,28.9,39.0,53.0
1759848629.1144114,21.2,28.9,39.0,53.0
1759848629.2150333,19.5,28.9,39.0,53.0
1759848629.3154604,19.6,28.9,39.0,53.0
1759848629.4158068,21.8,28.9,39.0,53.0
1759848629.516225,23.6,28.9,39.0,53.0
1759848629.6169193,25.9,28.9,39.0,53.0
1759848629.7172368,24.0,28.9,39.0,53.0
1759848629.8176434,17.5,28.9,39.0,53.0
1759848629.9181862,22.2,28.9,38.0,53.0
1759848630.0187745,14.4,28.9,38.0,53.0
1759848630.1194508,17.7,28.9,38.0,53.0
1759848630.2200675,21.0,28.9,38.0,53.0
1759848630.3204865,12.6,28.9,38.0,53.0
1759848630.4210258,18.6,28.9,38.0,53.0
1759848630.521559,18.5,28.9,38.0,53.0
1759848630.6220925,20.0,28.9,38.0,53.0
1759848630.7224257,15.8,29.0,38.0,53.0
1759848630.823047,16.4,29.0,38.0,53.0
1759848630.9237916,23.5,29.0,35.0,53.0
1759848631.0241387,19.7,29.0,35.0,53.0
1759848631.124819,15.2,29.0,35.0,53.0
1759848631.2258961,17.4,29.0,35.0,53.0
1759848631.3265152,16.2,29.0,35.0,53.0
1759848631.4268332,18.0,29.0,35.0,54.0
1759848631.5273805,15.0,28.9,35.0,54.0
1759848631.627913,21.0,28.9,35.0,54.0
1759848631.7282357,19.1,28.9,35.0,54.0
1759848631.828614,17.0,28.9,35.0,54.0
1759848631.928998,15.3,28.9,38.0,54.0
1759848632.0293825,23.6,28.9,38.0,54.0
1759848632.1300995,21.6,28.9,38.0,54.0
1759848632.2307105,19.0,28.9,38.0,54.0
1759848632.3313372,19.2,28.9,38.0,54.0
1759848632.4320467,20.4,28.9,38.0,54.0
1759848632.532435,18.3,28.9,38.0,54.0
1759848632.6331613,18.2,28.9,38.0,54.0
1759848632.7336423,19.2,29.0,38.0,54.0
1759848632.8342404,20.7,29.0,38.0,54.0
1759848632.9345675,22.3,28.9,35.0,54.0
1759848633.0348644,15.7,28.9,35.0,54.0
1759848633.135535,13.2,28.9,35.0,54.0
1759848633.2362478,16.3,28.9,35.0,54.0
1759848633.3365133,19.1,28.9,35.0,54.0
1759848633.4369402,15.4,28.9,35.0,55.0
1759848633.5376303,15.4,28.9,35.0,55.0
1759848633.6382082,23.4,28.9,35.0,55.0
1759848633.738801,17.3,28.9,35.0,55.0
1759848633.83939,17.1,29.0,35.0,55.0
1759848633.9398453,15.5,29.0,39.0,54.0
1759848634.0401144,18.9,29.0,39.0,54.0
1759848634.1406748,19.8,29.0,39.0,54.0
1759848634.2411416,14.0,29.0,39.0,54.0
1759848634.3413842,13.5,29.0,39.0,54.0
1759848634.442076,19.0,29.0,39.0,54.0
1759848634.5425274,20.0,28.9,39.0,54.0
1759848634.6433668,17.0,28.9,39.0,54.0
1759848634.743888,20.0,28.9,39.0,54.0
1759848634.844459,17.6,28.9,39.0,54.0
1759848634.9450963,20.4,28.9,39.0,54.0
1759848635.0455093,12.5,28.9,39.0,54.0
1759848635.1457844,19.8,28.9,39.0,54.0
1759848635.2464437,15.5,28.9,39.0,54.0
1759848635.3470902,10.4,28.9,39.0,54.0
1759848635.447806,13.6,28.9,39.0,54.0
1759848635.5483632,19.2,28.9,39.0,54.0
1759848635.6486769,20.9,28.9,39.0,54.0
1759848635.749147,14.4,28.9,39.0,54.0
1759848635.8493931,19.3,29.0,40.0,54.0
1759848635.9497705,17.8,29.0,40.0,54.0
1759848636.05031,18.9,29.0,40.0,54.0
1759848636.1507914,18.2,29.0,40.0,54.0
1759848636.251132,19.0,29.0,40.0,54.0
1759848636.3514192,18.8,29.0,40.0,54.0
1759848636.4516685,20.2,29.0,40.0,54.0
1759848636.552078,19.2,28.9,40.0,54.0
1759848636.652527,15.8,28.9,40.0,54.0
1759848636.7528563,18.4,29.0,40.0,54.0
1759848636.8534904,20.4,29.0,40.0,54.0
1759848636.9543295,20.0,29.0,40.0,54.0
1759848637.0549486,15.7,29.0,40.0,54.0
1759848637.1553664,11.0,29.0,40.0,54.0
1759848637.2557244,18.9,29.0,40.0,54.0
1759848637.3561227,14.3,29.0,40.0,54.0
1759848637.4565048,26.4,29.0,40.0,54.0
1759848637.5571048,18.1,28.9,40.0,54.0
1759848637.6576872,20.2,28.9,40.0,54.0
1759848637.7581224,18.4,28.9,40.0,54.0
1759848637.859188,17.3,29.0,42.0,54.0
1759848637.9595942,23.6,29.0,42.0,54.0
1759848638.0601313,15.2,29.0,42.0,54.0
1759848638.1606667,20.0,29.0,42.0,54.0
1759848638.261039,19.8,29.0,42.0,54.0
1759848638.3613973,17.0,29.0,42.0,55.0
1759848638.4619768,16.4,29.0,42.0,55.0
1759848638.562452,16.5,29.0,42.0,55.0
1759848638.6629574,20.2,28.9,42.0,55.0
1759848638.763726,24.5,28.9,42.0,55.0
1759848638.8644304,15.2,28.9,37.0,55.0
1759848638.9654577,19.7,29.0,37.0,55.0
1759848639.0661674,15.5,28.9,37.0,55.0
1759848639.166441,11.9,28.9,37.0,55.0
1759848639.2669802,17.1,28.9,37.0,55.0
1759848639.367613,19.3,28.9,37.0,55.0
1759848639.467963,14.0,28.9,37.0,55.0
1759848639.5682387,18.6,28.9,37.0,55.0
1759848639.6685963,22.5,29.0,37.0,55.0
1759848639.7689571,19.2,29.0,37.0,55.0
1759848639.8693016,18.3,29.0,37.0,55.0
1759848639.9695508,19.0,29.0,37.0,55.0
1759848640.0700274,18.6,29.0,37.0,55.0
1759848640.1704974,18.9,29.0,37.0,55.0
